image_path,rx,ry,rz,tx,ty,tz
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_22346.png,-82,5,-3,16,8,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_22943.png,-91,6,3,-4,2,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33239.png,-90,7,2,8,6,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_21070.png,-91,7,-3,-2,-4,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_31179.png,-97,-5,3,14,-8,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_25078.png,-93,-7,2,14,-6,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_13454.png,-82,-2,1,14,-6,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3759.png,-89,-5,2,-8,-6,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_26614.png,-94,-3,-2,18,-2,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_31130.png,-82,-6,4,12,2,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28425.png,-88,-4,2,-8,0,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_23787.png,-87,-8,-3,8,6,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_7451.png,-96,5,-4,-14,-6,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_30481.png,-83,7,-3,4,0,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33716.png,-86,-8,-4,-8,2,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_30504.png,-83,4,1,0,-8,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_17713.png,-82,3,-3,-4,8,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_436.png,-98,-7,-4,10,6,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_7424.png,-90,-6,1,-8,-4,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_8132.png,-94,-8,4,12,-6,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_31190.png,-87,6,4,-8,-4,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4305.png,-88,1,1,-8,8,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4886.png,-97,-5,-1,-2,-2,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_5387.png,-86,2,-3,-8,4,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_8916.png,-90,3,0,2,8,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_29470.png,-83,-7,-2,8,6,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_2579.png,-83,2,-1,-18,6,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_22821.png,-95,3,0,12,-4,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_2318.png,-84,-8,-2,-4,-8,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_32920.png,-91,-6,-3,-14,0,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_26476.png,-90,-2,3,2,4,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_29389.png,-89,-8,4,16,0,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_838.png,-84,6,-4,-12,2,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_9370.png,-95,2,4,10,-4,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3125.png,-83,-1,1,2,-4,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3933.png,-95,4,3,-8,-2,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_8149.png,-93,-2,-3,2,8,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_34971.png,-84,7,4,10,6,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_24288.png,-85,5,-1,14,6,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_15185.png,-96,1,0,8,-8,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_74.png,-91,4,2,0,-6,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_383.png,-84,-2,0,6,-4,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4515.png,-89,8,3,8,8,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4070.png,-86,2,-3,4,0,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3337.png,-84,-1,4,-2,4,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_25731.png,-94,5,-4,16,-8,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_26931.png,-97,3,0,6,8,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_22836.png,-98,6,1,-14,8,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_10997.png,-86,-7,0,12,6,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_17727.png,-90,1,2,18,8,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_31850.png,-97,-5,0,-14,4,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_1975.png,-97,6,1,-20,4,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_24932.png,-92,-5,-4,2,2,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_6680.png,-96,-1,3,-18,2,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28083.png,-82,7,3,-8,2,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_32905.png,-95,-1,-3,12,8,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_138.png,-96,1,-4,6,8,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4009.png,-97,3,-1,-18,-6,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_30162.png,-84,2,-1,4,4,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_18038.png,-84,-6,0,-12,-2,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_12200.png,-82,8,-3,-8,-6,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_5253.png,-96,-8,-4,-18,2,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_23507.png,-94,-1,4,2,8,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_24592.png,-91,2,-2,12,2,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_12071.png,-83,-6,0,-12,-2,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_14522.png,-96,-3,-4,-14,4,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_21447.png,-93,-5,4,-20,8,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_23693.png,-83,2,-2,12,-2,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_1076.png,-93,-5,0,-2,6,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_7078.png,-85,-1,0,-2,6,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_31119.png,-86,-6,-4,-14,0,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_13369.png,-90,-8,-3,-12,-8,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33844.png,-96,6,-1,18,-6,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_21627.png,-87,-5,3,4,6,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_23522.png,-85,-5,2,2,-2,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_20756.png,-98,0,1,4,4,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28683.png,-83,2,4,4,4,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_30024.png,-87,1,1,10,0,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_31925.png,-92,7,1,-4,4,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_26874.png,-86,-4,-4,-18,8,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_31933.png,-92,8,-4,0,6,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_21266.png,-91,8,0,12,-4,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_21870.png,-84,8,3,14,6,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28368.png,-97,5,-2,-10,4,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_10723.png,-92,-4,1,-16,8,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_18626.png,-97,6,-2,-2,4,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_29283.png,-82,7,-1,2,-2,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33790.png,-98,-2,-1,-18,0,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_17264.png,-90,7,1,6,-2,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_9826.png,-97,-3,4,16,2,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_20417.png,-98,2,-3,-2,4,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3392.png,-95,-7,-1,16,4,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_10928.png,-92,-6,4,-10,0,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_11530.png,-91,7,2,-20,0,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4017.png,-87,0,-3,4,-6,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_15864.png,-93,0,4,-16,2,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_12304.png,-85,5,2,-16,-6,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_20782.png,-88,-5,3,-10,-2,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_5334.png,-95,-1,-1,-10,4,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33474.png,-84,-5,-2,8,-8,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_6223.png,-95,5,-1,18,4,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_8266.png,-83,4,0,-14,-8,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_22271.png,-91,1,0,16,0,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_2001.png,-90,-6,-3,2,8,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_17159.png,-85,3,-1,-8,4,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3501.png,-84,3,-4,-12,-2,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_14572.png,-91,2,-1,-6,8,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_17038.png,-88,-4,4,-6,-2,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_18351.png,-89,-3,-3,-12,8,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_32735.png,-86,0,0,2,4,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28001.png,-87,-7,4,4,6,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_172.png,-97,4,-1,-6,-6,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_9120.png,-96,-8,-1,0,8,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_22731.png,-91,0,-3,8,-8,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_16708.png,-94,-3,1,-4,-2,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_29724.png,-83,7,0,8,-2,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_32085.png,-87,5,-4,-8,4,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_19706.png,-95,-4,-2,-14,8,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_27259.png,-87,7,4,6,-4,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_22248.png,-87,-7,-4,4,6,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_27677.png,-92,2,1,-14,0,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3241.png,-88,-4,3,10,-8,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_7405.png,-94,-5,-3,18,8,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33930.png,-88,-6,-4,-12,6,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_17141.png,-94,2,-1,14,-2,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_24999.png,-95,-3,0,10,-8,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_31513.png,-94,0,-1,2,-4,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_2654.png,-89,3,-1,-12,2,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_16366.png,-91,-1,-1,4,-8,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_34738.png,-97,-5,-3,-2,-8,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_22273.png,-82,0,-4,2,6,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_34808.png,-92,2,0,16,8,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_31136.png,-96,0,-3,-6,-8,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_8863.png,-88,-1,-3,16,8,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28707.png,-92,-7,3,4,0,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_15147.png,-97,4,0,2,6,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_24445.png,-84,2,2,-12,2,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_608.png,-93,0,-1,0,2,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_12323.png,-85,-7,4,12,4,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_29838.png,-93,6,0,6,-6,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_19975.png,-96,-2,1,0,8,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_34455.png,-96,6,3,0,-6,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_7647.png,-93,-3,0,16,8,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_14286.png,-83,-8,-3,-18,-8,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_6736.png,-93,-4,2,-10,4,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_17411.png,-97,1,2,18,-2,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3669.png,-83,-7,-3,-14,-4,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3924.png,-97,8,1,6,6,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_1792.png,-86,5,-4,-16,2,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_6446.png,-95,-5,3,-4,2,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_5299.png,-89,-5,-4,12,6,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_20015.png,-89,7,3,4,6,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_16635.png,-97,-4,-2,18,2,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_6045.png,-91,6,-4,18,6,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3573.png,-90,5,1,0,6,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3069.png,-98,-2,3,-4,2,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_2163.png,-88,2,2,-14,-2,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_34319.png,-95,-6,2,0,4,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_7644.png,-85,1,2,-16,-4,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_24734.png,-85,3,-2,6,-2,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_17715.png,-85,3,-3,-4,-6,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_13944.png,-91,-5,1,6,2,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_29548.png,-88,6,-3,8,2,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_12966.png,-95,4,1,10,-4,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3920.png,-82,8,4,0,-6,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_17871.png,-87,1,4,14,4,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28550.png,-94,6,0,4,-8,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_16678.png,-96,-1,-3,-4,8,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_20588.png,-91,-8,3,18,-4,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_17688.png,-92,0,-4,18,-6,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_30556.png,-91,1,0,-16,2,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_6838.png,-97,8,0,2,8,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_11913.png,-94,7,4,0,8,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_29830.png,-86,-2,-4,-18,-8,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28454.png,-95,-5,0,-14,4,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_2926.png,-90,-5,3,-2,8,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_25451.png,-84,2,3,6,-4,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_30099.png,-89,-7,-1,-14,2,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_11585.png,-94,6,-2,-12,8,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_16368.png,-82,5,0,-18,0,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_13990.png,-87,-6,-3,-12,4,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_1338.png,-96,-3,-1,10,-4,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_9829.png,-89,4,-2,-18,6,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_26594.png,-91,-7,-1,-4,2,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_19200.png,-82,0,3,-18,2,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_26944.png,-96,-2,-4,2,-8,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28138.png,-91,-2,-1,14,6,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4980.png,-83,7,-4,-4,-4,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_15611.png,-82,-7,-2,10,-8,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_954.png,-95,5,-1,10,4,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_1609.png,-86,-8,0,-20,-2,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_807.png,-88,-6,3,-2,4,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_27136.png,-96,-6,3,-6,8,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_1810.png,-88,-7,-1,12,-6,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_11765.png,-91,-5,1,-4,-6,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_9093.png,-92,-2,-3,-8,-2,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_30068.png,-95,8,0,-18,-6,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_14297.png,-89,3,2,-14,2,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_27129.png,-92,-2,-3,-14,6,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_23892.png,-98,2,-3,14,-8,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_34802.png,-87,4,3,-16,4,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_8170.png,-95,4,3,-2,-8,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33001.png,-98,-5,0,6,4,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_11534.png,-91,0,1,-16,8,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_12374.png,-98,7,1,4,-4,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_824.png,-93,-4,4,-8,6,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_26659.png,-91,-2,4,-4,6,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_26877.png,-85,-1,4,14,6,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33029.png,-92,6,1,-12,8,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_11099.png,-88,3,4,-18,-4,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_13231.png,-93,5,4,-14,8,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_29832.png,-95,2,4,6,8,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_566.png,-95,-2,-3,-6,6,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_32092.png,-92,5,-2,-16,8,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_16824.png,-91,-8,3,2,2,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_11053.png,-90,1,-3,12,8,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_17718.png,-86,-6,4,-12,-6,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33021.png,-92,3,-3,-18,0,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_17214.png,-84,4,2,-4,0,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_14020.png,-97,-3,-1,-8,-6,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_6185.png,-82,-8,0,2,4,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_2922.png,-88,2,-2,-10,-4,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_2261.png,-84,7,-3,-18,-6,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28376.png,-84,4,-3,-12,-6,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_22435.png,-90,0,-2,6,-6,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_6560.png,-96,-6,-1,-4,8,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_6780.png,-87,7,1,-4,2,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_26314.png,-96,-4,4,-2,-6,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_15723.png,-85,-8,4,-2,-4,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_15222.png,-97,-1,-3,-20,-4,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_31935.png,-97,3,0,-18,8,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_11465.png,-86,5,-4,18,-2,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_15363.png,-92,-3,1,-14,8,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_32269.png,-83,-2,3,-20,6,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_21733.png,-96,1,-4,0,-2,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_15687.png,-83,8,-1,8,-4,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_15574.png,-88,-5,2,-18,0,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28842.png,-90,-5,-2,8,-6,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_6367.png,-94,0,4,14,2,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_24452.png,-84,-3,-1,10,-4,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_27419.png,-82,1,-4,18,-6,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_11442.png,-94,-2,-1,4,4,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_34869.png,-89,2,-3,4,0,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_16897.png,-98,8,2,-6,-4,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_31170.png,-89,0,-1,18,8,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_32829.png,-97,-2,-1,-20,-4,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_27511.png,-92,5,-1,14,8,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_2389.png,-84,4,0,18,8,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33302.png,-82,8,1,-4,-8,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_19669.png,-85,1,3,14,8,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_2826.png,-83,-6,-1,18,-4,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_11054.png,-85,-7,2,14,4,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4619.png,-97,8,4,-10,6,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_21568.png,-85,0,-1,-14,-2,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4867.png,-93,4,-2,14,2,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_23764.png,-88,-1,3,-14,4,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_10750.png,-88,-2,0,-16,0,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_11802.png,-86,5,0,10,2,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_22331.png,-91,-7,-3,-6,-2,-8
